TMP_average,flow_feed,conductivity,RTS,temp_average,flux
54004.766,0.009327541,4.7678704,7.992932,291.75406,1.4660439547920629e-06
54116.473,0.009248357,4.76637,7.993019,291.75214,1.4723202466009727e-06
54228.18,0.009198412,4.7648687,8.012278,291.75024,1.4101899196799024e-06
54339.887,0.009160236,4.763368,8.037834,291.74832,1.4055961243813648e-06
54516.883,0.009210448,4.7540207,8.065409,291.74643,1.4539013874717224e-06
54693.883,0.009263062,4.7423577,8.098059,291.74448,1.467763270105959e-06
54870.88,0.009317101,4.7423577,8.130979,291.74258,1.4686389667498968e-06
55047.875,0.009371295,4.7423577,8.1638975,291.7407,1.4997738316059952e-06
55224.87,0.009433456,4.7423577,8.197146,291.73877,1.5103988269166114e-06
55394.52,0.0095074,4.7423577,8.231163,291.7368,1.5232933431890361e-06
55492.34,0.009522953,4.7423577,8.262916,291.7345,1.5288051792339625e-06
55590.16,0.009532877,4.7423577,8.294102,291.7322,1.5437468419354385e-06
55687.984,0.009541032,4.7423577,8.325288,291.72992,1.5140221931921424e-06
55785.81,0.009546426,4.7423577,8.356474,291.7276,1.5054530486392252e-06
55883.63,0.009547148,4.7423577,8.38766,291.72534,1.534591023216148e-06
55974.668,0.009548007,4.7423577,8.418846,291.72302,1.5028593348012427e-06
56006.246,0.009548707,4.7423577,8.450032,291.72107,1.5059154340560765e-06
56038.227,0.00954904,4.7423577,8.481218,291.7192,1.4995255429669242e-06
56070.21,0.009549525,4.7423577,8.512404,291.71735,1.5154358777092026e-06
56102.19,0.009550477,4.7423577,8.543591,291.71545,1.5201052234168102e-06
56134.17,0.00955192,4.7423577,8.568996,291.7136,1.5274402445643084e-06
56166.152,0.009553393,4.743038,8.590067,291.71173,1.5025448180667474e-06
56191.062,0.009550192,4.74644,8.616922,291.7102,1.5155849497773468e-06
56210.55,0.0095459595,4.749841,8.6422825,291.70886,1.5169599823386342e-06
56230.03,0.00954223,4.7540207,8.66415,291.70752,1.5443844687999618e-06
56249.52,0.009538571,4.7613096,8.688206,291.70615,1.5098459628825886e-06
56269.0,0.009535148,4.768211,8.702785,291.7048,1.5430667741812884e-06
56288.484,0.009532597,4.7750134,8.720552,291.70343,1.4901100040207606e-06
56301.3,0.00953459,4.7818174,8.735586,291.7021,1.5309697877140302e-06
56310.348,0.009536848,4.789458,8.747128,291.7007,1.5365797483459239e-06
56319.395,0.0095385285,4.7997613,8.755631,291.69934,1.5167100965609126e-06
56328.445,0.00954035,4.813793,8.765837,291.69803,1.5464056696458229e-06
56337.492,0.0095421625,4.826353,8.775192,291.69666,1.5313712846015699e-06
56346.54,0.009544148,4.8342037,8.780861,291.6953,1.5117475531431612e-06
56351.938,0.009546669,4.8420534,8.77977,291.69394,1.480769441132326e-06
56355.777,0.009547495,4.8499036,8.773491,291.6926,1.5154048174814196e-06
56359.617,0.009547327,4.8487816,8.769117,291.69122,1.53312792605335e-06
56363.453,0.009547157,4.8342037,8.758183,291.68985,1.538007004166815e-06
56367.29,0.009547046,4.8100824,8.755498,291.6885,1.5185779231491975e-06
56371.125,0.009547209,4.772973,8.75308,291.68713,1.5191166814805341e-06
56374.965,0.009547642,4.721947,8.75308,291.68634,1.4945226431887015e-06
56378.8,0.009547435,4.6927905,8.749253,291.68567,1.5030022404989157e-06
56382.64,0.009547002,4.6658196,8.743787,291.685,1.5374636485720343e-06
56386.477,0.009546923,4.642575,8.738319,291.68433,1.5301316726485008e-06
56390.312,0.009546206,4.627186,8.737773,291.6837,1.550696522818359e-06
56394.152,0.009543135,4.6113925,8.736315,291.68298,1.518458083988155e-06
56398.637,0.009540129,4.594384,8.733399,291.6821,1.5021695869688433e-06
56403.406,0.009537642,4.5892816,8.730483,291.6809,1.522716844868002e-06
56408.17,0.009537554,4.5892816,8.727568,291.67966,1.5365824254665935e-06
56412.94,0.009537467,4.5845714,8.724651,291.67847,1.5472876476903375e-06
56417.707,0.009537379,4.579077,8.721736,291.67725,1.5487791973463805e-06
56422.477,0.009537398,4.579077,8.718821,291.67603,1.5261159252007779e-06
56428.33,0.009537417,4.5869265,8.717362,291.6748,1.5263959471206443e-06
